City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Clouds,Wind
123,Suntar,RU,2022-10-12 20:2235,62.1444,117.6319,35.33,96,100,8.77
124,Avera,US,2022-10-12 20:2236,33.194,-82.5271,77.56,75,100,7.38
125,Khatanga,RU,2022-10-12 20:2236,71.9667,102.5,30.29,98,100,7.54
126,Brae,GB,2022-10-12 20:2237,60.3964,-1.353,48.33,71,11,14.41
127,San Rafael,AR,2022-10-12 20:2238,-34.6177,-68.3301,78.46,14,47,6.91
128,Torbay,CA,2022-10-12 20:2239,47.6666,-52.7314,54.39,67,75,6.91
129,Kathmandu,NP,2022-10-12 20:2157,27.7167,85.3167,66.42,88,75,3.44
130,Luang Prabang,LA,2022-10-12 20:2240,19.8856,102.1347,74.14,87,100,0.36
131,Saint-Joseph,RE,2022-10-12 20:2241,-21.3667,55.6167,72.46,76,22,11.97
132,Lingao,CN,2022-10-12 20:2241,19.9103,109.6859,72.07,63,67,6.49
133,Chokurdakh,RU,2022-10-12 20:2242,70.6333,147.9167,2.25,90,80,5.28
134,Pueblo Bello,CO,2022-10-12 20:2243,8.2041,-76.526,78.75,93,100,4.07
135,Kargasok,RU,2022-10-12 20:2243,59.0556,80.8572,34.23,92,50,8.63
136,Praia Da Vitoria,PT,2022-10-12 20:2344,38.7333,-27.0667,72.75,83,20,7.4
137,Oranjemund,NA,2022-10-12 20:2345,-28.55,16.4333,58.24,92,46,6.2
138,Palmer,US,2022-10-12 20:2215,42.1584,-72.3287,71.2,40,75,14.97
139,Hithadhoo,MV,2022-10-12 20:2346,-0.6,73.0833,79.27,81,90,12.44
140,Bairiki,KI,2022-10-12 20:2347,1.3292,172.9752,82.4,74,75,12.66
141,Sitka,US,2022-10-12 20:2347,57.0531,-135.33,57.09,82,100,12.66
142,Sulmona,IT,2022-10-12 20:2348,42.0479,13.9291,64.06,83,100,0.96
143,Mount Gambier,AU,2022-10-12 20:2348,-37.8333,140.7667,51.71,100,100,6.91
144,San Vicente,AR,2022-10-12 20:2349,-26.6167,-54.1333,67.55,62,100,0.27
145,Constitucion,CL,2022-10-12 20:2349,-35.3333,-72.4167,59.32,61,61,20.71
146,Havoysund,NO,2022-10-12 20:2350,70.9963,24.6622,43.03,74,100,29.19
147,Broome,US,2022-10-12 20:2351,42.2506,-75.833,68.63,58,0,9.22
148,Dunedin,NZ,2022-10-12 20:2352,-45.8742,170.5036,48.79,66,51,5.01
149,Tuatapere,NZ,2022-10-12 20:2352,-46.1333,167.6833,47.43,65,98,3.38
150,Katherine,AU,2022-10-12 20:2353,-14.4667,132.2667,80.92,65,27,8.05
151,Marzuq,YE,2022-10-12 20:2354,14.4,46.4667,71.92,43,2,3.91
152,Puerto Quijarro,BO,2022-10-12 20:2354,-17.7833,-57.7667,83.1,68,99,2.86
153,Tucupita,VE,2022-10-12 20:2355,9.0622,-62.051,76.69,92,100,4.97
154,Tura,IN,2022-10-12 20:1946,25.5198,90.2201,70.61,98,100,1.41
155,Nenjiang,CN,2022-10-12 20:2356,49.1833,125.2167,41.11,51,51,2.82
156,Adrar,MR,2022-10-12 20:2357,20.5022,-10.0711,92.32,20,87,12.06
157,Bonfim,BR,2022-10-12 20:2358,3.0833,-59.95,88.11,54,99,5.03
158,Vardo,NO,2022-10-12 20:2358,70.3705,31.1107,40.98,87,0,14.97
159,Bethel,US,2022-10-12 20:2359,41.3712,-73.414,69.35,52,0,10.36
160,Malinovoye Ozero,RU,2022-10-12 20:2400,51.6753,79.7825,44.83,68,86,6.35
161,Karratha,AU,2022-10-12 20:2400,-20.7377,116.8463,70.74,22,46,15.97
162,Kyra,RU,2022-10-12 20:2401,49.5776,111.9753,32.58,64,15,2.33
163,Cidreira,BR,2022-10-12 20:2402,-30.1811,-50.2056,64.49,83,80,9.98
164,Dong Hoi,VN,2022-10-12 20:2403,17.4833,106.6,73.65,74,97,9.48
165,Tobol,KZ,2022-10-12 20:2404,52.6844,62.5794,50.7,40,100,7.56
166,Mahebourg,MU,2022-10-12 20:2405,-20.4081,57.7,71.89,68,75,6.91
167,Coquimbo,CL,2022-10-12 20:2406,-29.9533,-71.3436,62.33,72,0,16.11
168,Dikson,RU,2022-10-12 20:2408,73.5069,80.5464,29.26,75,100,4.68
169,Grindavik,IS,2022-10-12 20:2408,63.8424,-22.4338,42.75,100,75,11.5
170,Balykshi,KZ,2022-10-12 20:2409,47.0667,51.8667,55.4,76,40,15.66
171,Kayes,ML,2022-10-12 20:2410,14.0,-11.0,82.62,62,85,2.64
172,Fortuna,US,2022-10-12 20:2411,40.5982,-124.1573,69.93,72,20,9.22
173,Itarema,BR,2022-10-12 20:2400,-2.9248,-39.9167,81.37,68,72,18.07
174,Gorontalo,ID,2022-10-12 20:2413,0.5412,123.0595,74.37,88,92,1.7
175,Ilulissat,GL,2022-10-12 20:2414,69.2167,-51.1,30.22,69,75,0.0
176,Nemuro,JP,2022-10-12 20:2415,43.3236,145.575,53.38,67,1,6.6
177,Araouane,ML,2022-10-12 20:2415,18.9048,-3.5265,93.63,10,25,7.16
178,Erdenet,MN,2022-10-12 20:2416,49.0333,104.0833,31.37,67,5,5.48
